,individualID,domainID,siteID,plotID,subplotID,pointID,stemDistance,stemAzimuth,scientificName,taxonRank,adjNorthing,adjEasting,adjCoordinateUncertainty,adjDecimalLatitude,adjDecimalLongitude,adjElevation,adjElevationUncertainty,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter
2621,NEON.PLA.D17.SOAP.04652,D17,SOAP,SOAP_003,32.0,33.0,4.2,318.6,Calocedrus decurrens (Torr.) Florin,species,4101004.43969649,299811.759850166,0.7,37.0339227852663,-119.250751043975,1127.79,1.1,single bole tree,Live,26.8,130.0,16.8,,,,3.8,3.8,Full sun,,,,,,,,,,,
2622,NEON.PLA.D17.SOAP.04653,D17,SOAP,SOAP_003,32.0,33.0,3.1,337.3,Calocedrus decurrens (Torr.) Florin,species,4101004.14909808,299813.341051269,0.7,37.0339205048757,-119.250733201457,1127.79,1.1,single bole tree,Standing dead,21.3,130.0,11.9,,,,4.1,3.0,Partially shaded,,,,,,,,,,,
2623,NEON.PLA.D17.SOAP.04654,D17,SOAP,SOAP_003,32.0,33.0,3.8,278.5,Pinus ponderosa Lawson & C. Lawson,species,4101001.85090576,299810.779099719,0.7,37.0338992578617,-119.250761374457,1127.79,1.1,single bole tree,Live,18.0,130.0,10.7,,,,4.7,4.1,Full sun,,,,,,,,,,,
2624,NEON.PLA.D17.SOAP.04655,D17,SOAP,SOAP_003,31.0,,,,Calocedrus decurrens (Torr.) Florin,species,,,,,,,,small tree,Standing dead,9.7,130.0,5.1,,,,1.7,1.5,,,,,,,,,,,,
2625,NEON.PLA.D17.SOAP.04656,D17,SOAP,SOAP_003,31.0,,,,Calocedrus decurrens (Torr.) Florin,species,,,,,,,,small tree,Standing dead,9.4,130.0,5.4,,,,2.4,2.3,,,,,,,,,,,,
2626,NEON.PLA.D17.SOAP.04657,D17,SOAP,SOAP_003,31.0,31.0,7.6,6.7,Pinus ponderosa Lawson & C. Lawson,species,4101009.32166694,299794.964277602,0.71,37.0339631777931,-119.250941045378,1128.51,1.11,single bole tree,"Dead, broken bole",10.5,130.0,2.4,,2.4,8.5,2.0,1.1,Mostly shaded,,,,,,,,,,,
2627,NEON.PLA.D17.SOAP.04658,D17,SOAP,SOAP_003,31.0,,,,Calocedrus decurrens (Torr.) Florin,species,,,,,,,,small tree,Standing dead,7.8,130.0,4.2,,,,1.3,1.1,,,,,,,,,,,,
2628,NEON.PLA.D17.SOAP.04659,D17,SOAP,SOAP_003,31.0,31.0,9.3,37.6,Pinus ponderosa Lawson & C. Lawson,species,4101009.14186368,299799.751930024,0.71,37.0339625791447,-119.250887206935,1128.51,1.11,single bole tree,"Live, physically damaged",15.9,130.0,5.4,,,,12.4,2.8,Partially shaded,,,,,,,,,,,
2629,NEON.PLA.D17.SOAP.04660,D17,SOAP,SOAP_004,41.0,51.0,3.7,198.3,Quercus chrysolepis Liebm.,species,4101439.11155573,298163.499337913,0.77,37.0374851087816,-119.269386111124,1192.13,1.16,single bole tree,Live,42.5,130.0,14.0,,,,10.0,8.8,Mostly shaded,,,,,,,,,,,
2630,NEON.PLA.D17.SOAP.04661,D17,SOAP,SOAP_004,41.0,51.0,6.4,197.2,Calocedrus decurrens (Torr.) Florin,species,4101436.51064848,298162.76857848,0.77,37.037461524556,-119.26939362413,1192.13,1.16,single bole tree,Live,10.2,130.0,7.0,,,,2.6,2.6,Mostly shaded,,,,,,,,,,,
2631,NEON.PLA.D17.SOAP.04662,D17,SOAP,SOAP_004,41.0,51.0,8.9,205.7,Calocedrus decurrens (Torr.) Florin,species,4101434.60484451,298160.801544147,0.77,37.0374439355145,-119.269415213908,1192.13,1.16,single bole tree,Live,12.3,130.0,8.3,,,,4.0,2.7,Partially shaded,,,,,,,,,,,
2632,NEON.PLA.D17.SOAP.04663,D17,SOAP,SOAP_004,41.0,51.0,11.7,227.8,Calocedrus decurrens (Torr.) Florin,species,4101434.7652991,298155.993696223,0.77,37.0374443470388,-119.269469276238,1192.13,1.16,single bole tree,Standing dead,31.7,130.0,16.7,,,,3.3,2.8,Mostly shaded,,,,,,,,,,,
